species_name,classification
Cinnamomum_camphora,Common
Cinnamomum_iners,Competitively Rare
Cinnamomum_parthenoxylon,Competitively Rare
Cinnamomum_subavenium,Competitively Rare
Cirsium_acaule,Common
Cirsium_arvense,Potentially Invasive
Cirsium_discolor,Potentially Invasive
Cirsium_dissectum,Common
Cirsium_eriophorum,Common
Cirsium_erisithales,Potentially Invasive
Cirsium_heterophyllum,Common
Cirsium_oleraceum,Common
Cirsium_palustre,Potentially Invasive
Cirsium_rivulare,Common
Cirsium_spinosissimum,Common
Cirsium_tuberosum,Common
Cirsium_undulatum,Common
Cirsium_vulgare,Common
Cirsium_wheeleri,Competitively Rare
Cissus_antarctica,Adaptable Survivor
Cistus_albidus,Common
Cistus_creticus,Common
Cistus_crispus,Common
Cistus_incanus,Competitively Rare
Cistus_libanotis,Competitively Rare
Cistus_monspeliensis,Common
Cistus_salviifolius,Common
Citharexylum_caudatum,Relict
Citrus_reticulata,Relict
Cladium_mariscus,Keystone
Cladrastis_kentukea,Keystone
Claoxylon_australe,Adaptable Survivor
Claytonia_caroliniana,Common
Claytonia_sibirica,Common
Clematis_alpina,Common
Clematis_flammula,Common
Clematis_glycinoides,Common
Clematis_integrifolia,Common
Clematis_recta,Common
Clethra_acuminata,Competitively Rare
Clethra_alnifolia,Potentially Invasive
Clethra_revoluta,Competitively Rare
Clethra_scabra,Competitively Rare
Clidemia_hirta,Competitively Rare
Clinopodium_acinos,Common
Clinopodium_alpinum,Common
Clusia_grandiflora,Competitively Rare
Clusia_rosea,Common
Coccoloba_barbadensis,Relict
Coccoloba_pyrifolia,Competitively Rare
Coccoloba_uvifera,Potentially Invasive
Cochlearia_danica,Common
Cochlearia_pyrenaica,Competitively Rare
Cochlospermum_fraseri,Adaptable Survivor
Cochlospermum_vitifolium,Adaptable Survivor
Coelospermum_reticulatum,Common
Coffea_arabica,Common
Cojoba_arborea,Endemic
Colchicum_autumnale,Common
Colchicum_montanum,Common
Coleostephus_myconis,Common
Colliguaja_integerrima,Competitively Rare
Colobanthus_buchananii,Competitively Rare
Colobanthus_strictus,Competitively Rare
Colobanthus_subulatus,Competitively Rare
Colophospermum_mopane,Adaptable Survivor
Colutea_arborescens,Potentially Invasive
Comarum_palustre,Adaptable Survivor
Combretum_apiculatum,Common
Combretum_collinum,Keystone
Combretum_hereroense,Adaptable Survivor
Combretum_imberbe,Adaptable Survivor
Combretum_molle,Common
Combretum_mossambicense,Adaptable Survivor
Combretum_zeyheri,Keystone
Comesperma_ericinum,Adaptable Survivor
Commersonia_bartramia,Relict
Commiphora_mollis,Relict
Condalia_hookeri,Adaptable Survivor
Conopodium_majus,Common
Conospermum_ericifolium,Competitively Rare
Conospermum_longifolium,Competitively Rare
Conospermum_taxifolium,Common
Conostephium_pendulum,Competitively Rare
Convolvulus_althaeoides,Common
Convolvulus_arvensis,Potentially Invasive
Convolvulus_erubescens,Common
Convolvulus_lanuginosus,Common
Convolvulus_lineatus,Common
Coprosma_cheesemanii,Common
Coprosma_hirtella,Common
Coprosma_niphophila,Competitively Rare
Coprosma_perpusilla,Common
Coprosma_quadrifida,Common
Coprosma_robusta,Potentially Invasive
Coptis_trifolia,Adaptable Survivor
Cordia_bicolor,Relict
Cordia_borinquensis,Relict
Cordia_caffra,Relict
Cordia_dentata,Competitively Rare
Cordia_dichotoma,Competitively Rare
Cordia_sulcata,Relict
Coreopsis_palmata,Common
Coriaria_arborea,Adaptable Survivor
Coriaria_nepalensis,Classically Rare
Coris_monspeliensis,Adaptable Survivor
Cornus_alba,Common
Cornus_alternifolia,Keystone
Cornus_amomum,Potentially Invasive
Cornus_macrophylla,Common
Cornus_racemosa,Keystone
Cornus_sanguinea,Potentially Invasive
Cornus_sericea,Potentially Invasive
Cornus_suecica,Adaptable Survivor
Coronilla_coronata,Common
Coronilla_juncea,Common
Coronilla_minima,Common
Coronilla_scorpioides,Common
Correa_reflexa,Adaptable Survivor
Corydalis_solida,Adaptable Survivor
Corymbia_calophylla,Relict
Corymbia_citriodora,Common
Corymbia_clarksoniana,Common
Corymbia_confertiflora,Common
